,text_surronding,Gender
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12045,"; car je craignais , je l' avoue , que",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12050,"je l' avoue , que mon livre ne pût trouver",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12065,". – Oui , reprit - il , même dans",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12070,"- il , même dans mon état , quand je",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12074,"dans mon état , quand je suis dans le jardin",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12083,"jardin près de fleurir , je voudrais , comme Faust",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12109,"- toi . » Tout me paraît alors harmonieux ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12118,", suave … Ce qui me gêne , c' est",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12125,", c' est de faire moi - même comme une",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12143,tache dans ce tableau … J' aurais tant voulu être,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12151,voulu être beau ! » Il demeura quelque temps sans,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12187,"plus basse et , semblait - il , craintivement :",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12193,"il , craintivement : – Je voudrais bien que tu",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12197,– Je voudrais bien que tu donnes de mes nouvelles,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12200,bien que tu donnes de mes nouvelles à mes parents,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12203,donnes de mes nouvelles à mes parents . Moi j',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12206,nouvelles à mes parents . Moi j' en suis à,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12207,à mes parents . Moi j' en suis à ne,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12231,"lettre qu' elle reçoit de moi , ma mère me",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12233,"elle reçoit de moi , ma mère me répond aussitôt",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12235,"de moi , ma mère me répond aussitôt que ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12241,"répond aussitôt que , si je suis malade , c'",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12248,"malade , c' est pour mon bien ; que c'",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12255,; que c' est pour mon salut que Dieu me,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12259,pour mon salut que Dieu me gratifie de ces souffrances,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12266,de ces souffrances ; que je devrais m' en instruire,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12280,"que , seulement ensuite , je mériterai de guérir .",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12286,mériterai de guérir . Alors je lui dis invariablement que,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12291,"je lui dis invariablement que je vais mieux , pour",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12301,éviter ces considérations … qui m' emplissent le cœur de,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12309,"cœur de blasphème . Écris - lui , toi .",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12312,". Écris - lui , toi . – Ce matin",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12322,"même ce sera fait , lui dis - je en",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12324,"sera fait , lui dis - je en prenant sa",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12328,dis - je en prenant sa main moite . –,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12341,serre pas trop fort ; tu me fais mal .,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12342,pas trop fort ; tu me fais mal . Il,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12346,tu me fais mal . Il souriait . II Notre,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12349,"mal . Il souriait . II Notre littérature , et",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12405,qui pâlissait avantageusement le front du poète et chargeait de,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12411,poète et chargeait de nostalgie son regard . Il entrait,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12414,de nostalgie son regard . Il entrait là - dedans,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12468,de la profondeur . Pour moi qui toujours préférai Bach,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12469,la profondeur . Pour moi qui toujours préférai Bach et,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12478,"et Mozart à Beethoven , je tiens pour impie le",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12503,"beaux » , et n' admets pas que l' homme",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12520,"laisse abattre . Oui , je sais qu' il entre",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12523,"Oui , je sais qu' il entre là - dedans",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12537,d' abandon au naturel . Je sais que Prométhée souffre,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12566,"avoir aimé les hommes . Je sais que , seul",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12604,maintenaient l' humanité courbée . Je sais qu' il est,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12694,ne devons plus admettre . Je n' admets pas davantage,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12808,"entente et d' amour , je songe aux jardins que",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12850,la joie de tous . Je songe à ce que,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12927,"y a identité . Il me semble que , naturaliste",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12933,"semble que , naturaliste , j' aurais dirigé vers cette",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12947,", toutes les interrogations de mon esprit . S' il",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13049,"deviendrait jamais papillon . * Je sens bien , à",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13055,"sens bien , à travers ma diversité , une constance",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13063,une constance ; ce que je sens divers c' est,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13069,sens divers c' est toujours moi . Mais précisément parce,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13075,. Mais précisément parce que je sais et sens qu',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13078,"parce que je sais et sens qu' elle existe ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13092,"chercher à l' obtenir ? Je me suis , tout",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13100,", tout le long de ma vie , refusé de",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13107,", refusé de chercher à me connaître ; c' est",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13119,- dire : refusé de me chercher . Il m',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13123,de me chercher . Il m' a paru que cette,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13198,soucieux de ressembler ensuite à soi - même et que,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13218,insaisissable devenir . L' inconséquence me déplaît moins que certaine,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13233,volonté de demeurer fidèle à soi - même et que,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13244,crainte de se couper . Je crois du reste que,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13265,quelque continuité plus cachée . Je crois aussi qu' ici,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13313,"qui reste informulé . III J' ai parfois , j'",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13317,"III J' ai parfois , j' ai souvent , par",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13331,"autrui plus de mal que je ne pensais et ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13344,dit plus de bien que je ne pensais de beaucoup,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13361,par crainte d' indisposer contre moi leurs auteurs . J',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13365,contre moi leurs auteurs . J' ai parfois souri à,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13373,souri à des gens que je ne trouvais pas du,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13389,spirituels des propos niais . J' ai feint de m',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13400,", parfois , alors que je m' embêtais à mort",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13407,embêtais à mort et que je n' avais pas la,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13421,aller parce que l' on me disait : reste encore,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13427,disait : reste encore … J' ai trop souvent permis,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13433,ai trop souvent permis à ma raison d' arrêter l',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13440,"d' arrêter l' élan de mon cœur . Et ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13450,"par contre , alors que mon cœur se taisait ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13455,"mon cœur se taisait , j' ai trop souvent parlé",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13463,"souvent parlé quand même . J' ai parfois , pour",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13480,"Et , par contre , je n' ai pas toujours",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13489,toujours osé faire ce que je pensais devoir faire mais,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13516,vaine occupation du vieillard . Je me le dis ;,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13522,me le dis ; pourtant j' y cède . Vous,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13527,"j' y cède . Vous m' y encouragez , estimant",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13552,"méprenez sur la nature de mes regrets , de mes",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13556,"de mes regrets , de mes remords . C' est",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13569,"« non acti » qui me tourmente , de tout",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13577,de tout ce que durant ma jeunesse j' aurais pu,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13579,"ce que durant ma jeunesse j' aurais pu faire ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13584,"j' aurais pu faire , j' aurais dû faire ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13599,; cette morale à laquelle je ne crois plus ;,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13606,crois plus ; à laquelle je croyais bon de me,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13617,alors qu' elle était pour moi le {3} plus gênante,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13626,"gênante , de sorte que je donnais à l' orgueil",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13634,l' orgueil cette satisfaction que je refusais à ma chair,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13637,satisfaction que je refusais à ma chair . Car c',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13726,"que vous appeliez , que j' appelais avec vous :",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13737,", ce sont elles que je regrette ; et ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13743,"regrette ; et , si je me repens aujourd' hui",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13773,"d' autres , après lesquelles j' ai couru , plus",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13791,et de moindre profit pour ma pensée . Je me,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13794,profit pour ma pensée . Je me repens d' avoir,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13800,"me repens d' avoir assombri ma jeunesse , d' avoir",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13812,"imaginaire au réel , de m' être détourné de la",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13952,Saisis l' instant ! * Je m' installe dans ce,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13962,"point de l' espace que j' occupe , dans ce",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13973,précis de la durée . Je n' admets point qu',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13984,ne soit point crucial . J' étends mes bras de,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13986,point crucial . J' étends mes bras de toute leur,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_13993,de toute leur longueur . Je dis : voici le,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14003,"sud , le nord … Je suis effet ; je",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14007,… Je suis effet ; je serai cause . Cause,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14023,se représentera jamais plus . Je suis ; mais je,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14027,. Je suis ; mais je veux trouver raison d',male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14034,trouver raison d' être . Je veux savoir pour quoi,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14039,Je veux savoir pour quoi je vis . * La,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14158,considération la mieux capable de m' enlever toute joie de,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14178,"possible , la vie ne m' est plus d' aucun",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14186,d' aucun prix – et je fais miennes ces paroles,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14192,fais miennes ces paroles que je prêtais à l' Alissa,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14198,prêtais à l' Alissa de ma Porte Étroite : «,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14209,"bienheureux qu' il soit , je ne puis souhaiter un",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14219,état sans progrès … et ferais fi d' une joie,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14360,"la joie , devint bientôt mon exigence et la réclamation",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14366,exigence et la réclamation de mon indispensable bonheur . Comme,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14377,du bonheur d' autrui seulement je dusse former le mien,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14390,en connaissant plus d' autre moi - même que celui,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14396,- même que celui que je pouvais goûter par sympathie,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_14412,"dire . Et tout ceci me parut , par là",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4781,! méfiez - vous de celui qui vient d' entrer,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4782,"méfiez - vous de celui qui vient d' entrer ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4788,"vient d' entrer , fit - il en changeant de",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4805,côté par la manche . C' est un vieux daim,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4807,la manche . C' est un vieux daim qui n',male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4810,C' est un vieux daim qui n' a jamais rien,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4818,"jamais rien découvert , mais qui voudrait piller les autres",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4828,". Pas un mot devant lui , je vous prie",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4834,", je vous prie ( c' était mon ami C",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4841,"mon ami C … , médecin en chef de l'",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4851,hospice ) . Voyez comme il interroge ce pauvre abbé,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4865,"sous un costume civil , ce gentleman là - bas",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4871,"gentleman là - bas , c' est un prêtre .",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4876,"c' est un prêtre . Un grand inventeur , lui",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4880,". Un grand inventeur , lui aussi . C' est",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4908,"grandes choses ; quand je lui parle , c' est",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4915,", c' est comme s' il me répondait en chinois",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4927,"ailleurs , depuis quelque temps il me fuit . Vous",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4933,me fuit . Vous irez le trouver tout à l',male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4941,"à l' heure , quand le vieux daim l' aura",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4944,", quand le vieux daim l' aura quitté . Vous",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4951,quitté . Vous verrez : il sait des choses curieuses,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4959,choses curieuses ; et s' il ne manquait pas de,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4971,"les idées … Tenez , le voici seul à présent",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_4992,m' ayez dit ce que vous avez inventé . –,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5002,Vous voulez le savoir ? Il se pencha vers moi,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5011,"moi d' abord , puis rejeta brusquement le torse en",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5030,d' étrange gravité : – Je suis l' inventeur du,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5032,gravité : – Je suis l' inventeur du bouton .,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5052,dirigeai vers le banc où « le gentleman » restait,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5073,les mains . – Ne vous ai - je pas,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5083,déjà rencontré quelque part ? lui dis - je en,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5094,"d' introduction . – Il me semble aussi , fit",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5099,"me semble aussi , fit - il après m' avoir",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5118,n' est - ce pas vous qui causiez tout à,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5175,. Il ne peut plus me souffrir depuis qu' il,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5190,peut pas se passer de moi . – Comment expliquez,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5195,moi . – Comment expliquez - vous cela ? hasardai,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5200,- vous cela ? hasardai - je . – Vous,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5204,hasardai - je . – Vous allez comprendre tout de,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5211,"comprendre tout de suite , cher monsieur . Il a",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5223,"bouton , il a dû vous le dire . Mais",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5228,vous le dire . Mais c' est moi l' inventeur,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5230,dire . Mais c' est moi l' inventeur de la,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5248,? – Nécessairement . IV Je ne trouve pas précisément,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5279,le plus clair possible et j' éprouve que chaque objet,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5289,"de cette terre , que je convoite , se fait",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5300,", par cela même que je le convoite , et",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5316,"sa transparence , ou que mon regard perd sa clarté",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5331,"cesse d' être sensible à mon âme , et qu'",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5342,le Créateur pour la créature mon âme cesse de vivre,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5351,vivre dans l' éternité et perd possession du royaume de,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5359,"royaume de Dieu . * Je reviens à vous ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5362,". * Je reviens à vous , Seigneur Christ ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5364,"Je reviens à vous , Seigneur Christ , comme à",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5371,", comme à Dieu dont vous êtes la forme vivante",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5377,"êtes la forme vivante , je suis las de mentir",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5383,suis las de mentir à mon cœur . C' est,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5388,mon cœur . C' est vous que je retrouve partout,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5390,". C' est vous que je retrouve partout , alors",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5396,"retrouve partout , alors que je croyais vous fuir ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5398,", alors que je croyais vous fuir , ami divin",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5401,"je croyais vous fuir , ami divin de mon enfance",male
